Company,Company Score,Job Title,Location
American Commercial Barge Line,4.0,Supply Chain Data Analyst Intern (Fall 2024),"Jeffersonville, IN"
Sikka Software,3.5,Data Discovery ETL Developer Intern,"San Jose, CA"
Premium Waters,3.2,Intern (Data Coordinator),"Riverside, MO"
Prudential,4.0,"Prudential: 2025 Corporate, Internal Audit Data Analytics Internship Program","Newark, NJ"
Davines Italia spa,3.9,"Marketing Intern, Davines North America",New York State
Northrop Grumman,3.9,2025 Summer Business Management Analyst Intern Linthicum MD,"Linthicum, MD"
"Seminole County, FL",3.6,Student Intern Opportunity - Fire Dept Data Analytics & Visualization,United States
EPMA,3.4,Data Science- Internship opportunity (UT Austin/ University of Texas-San Marcos/ Texas A& M) -Onsite- Austin Tx.,"Austin, TX"
Peloton,3.8,2025 Land Data Management Internship Program,"Katy, TX"
Springer Capital,4.0,Diversity and Equity Initiatives Intern (Remote),Remote
RTI International,4.4,Geospatial Data Analyst Internship,"Durham, NC"
BASF Corporation,3.8,Professional Development Program (PDP) Internship - Data Science Summer 2025,"Florham Park, NJ"
AON Marketing Inc.,3.7,Sales Intern,"Tampa, FL"
Macquarie Group Limited,5.0,2025 Technology Summer Internship Program,"Houston, TX"
State Farm,3.4,2025 Summer Intern - P&C Actuarial,"Bloomington, IL"
ConocoPhillips,3.0,2025 Actuary Analyst Intern,Remote
PCORI,4.2,"Intern, Information Technology 2025 (CONV)","Bartlesville, OK"
Micron,2.0,Fall Intern - Procurement,"Washington, DC"
AbbVie,3.4,"Intern - Yield Enhancement, Data Analysis","Boise, ID"
Kadant Black Clawson,4.1,2025 Finance Intern,"North Chicago, IL"
PRICE WATERHOUSE COOPERS,3.9,Engineering Intern - Data Analytics,"Lebanon, OH"
Keymanna Management,3.9,Tax Technology Intern - Summer 2025,"Los Angeles, CA"
Legrand North America,2.8,Intern- Event Management,Remote
Activation Capital,3.5,Supply Chain Intern,United States
Stonersville F.C. Flames,4.1,Project Management Intern,"Richmond, VA"
News Corp,3.9,Sales/Marketing Intern,Remote
Sapna NYC Inc.,2.9,AI Engineering Intern,"New York, NY"
Dover Food Retail,5.0,"Sapna NYC Data, Research, & Communications Intern","Bronx, NY"
CyberSC,4.1,"Intern, Product Management","Conyers, GA"
RippleMatch Opportunities,3.8,Digital Marketing Intern - Events,Remote
Belt Power,3.7,"Business Intelligence Intern, application via RippleMatch","Denver, CO"
Stand Together,4.2,Business Analytics Intern,"Marietta, GA"
Hunter Engineering Company,3.6,KIP Fall 2024 - Training and Education Intern - Atlas Network,Remote
GLOBAL Healing Creative Arts Therapy Studio,4.1,Digital Marketing Intern,"Bridgeton, MO"
Hilltop Holdings,3.9,Supply Chain Intern,"New Baltimore, MI"
ZAGG Inc,4.6,Quantitative Analytics Intern,"Dallas, TX"
Isuzu,4.4,Product Management Intern,"Midvale, UT"
ASPCA,4.2,Commercial Vehicle Engineering Intern,"Plymouth, MI"
DSM,4.0,Internship and Data Coordinator,"San Francisco, CA"
Moda Health,4.4,RA Data Analytics Apprentice,Connecticut
Peak Nano,3.3,Provider Analytics Intern,"Portland, OR"
Amex,3.3,AI/ML DEVELOPMENTAL INTERN,"Macedonia, OH"
ATPCO,2.0,"Campus Undergraduate - 2025 Finance Summer Internship New York, NY",United States
ByteDance,3.1,Systems Engineer Intern,"Dulles, VA"
Schneider Electric,4.0,Software Engineer Intern (Data Management Suite-Globalization) - 2025 Summer/Fall (BS/MS),"San Jose, CA"
ZS Associates,3.8,Data Analytics/Procurement Intern,"Nashville, TN"
Taft Museum of Art,4.4,Decision Analytics Associate - Intern (North America - University Students),"Princeton, NJ"
Arrowstreet Capital,3.2,Museum Data Collection Intern,"Cincinnati, OH"
Tenaris,4.0,"Quantitative Developer Intern, Summer 2025","Boston, MA"
Maricopa Association of Governments,3.1,Communications Intern,"Houston, TX"
Arrowstreet Capital,4.1,Transportation Data Intern,"Phoenix, AZ"
University of Utah Health,3.3,"Quantitative Researcher Intern, Summer 2025","Boston, MA"
Aqua Rocks Colorado,3.8,Analytics Intern,"Salt Lake City, UT"
Greentree Capital,3.8,Paid Marketing Intern,"Commerce City, CO"
EMD Electronics,3.6,Diversity and Equity Initiatives Intern (Remote),Remote
Splunk,3.8,Maintenance Co-op,"Branchburg, NJ"
Sammons Financial Group,3.7,Applied Scientist Intern - PhD (US Remote - Fall 2024),Colorado
Springer Capital,3.6,Actuarial Intern - Part-Time 24/25 School Year,Iowa
TikTok,3.5,Inclusion Strategy Intern (Remote),Remote
TikTok,3.4,Security Data Scientist Intern (Security Execution and Performance) - 2025 Summer (BS/MS),"San Jose, CA"
i3 Assembly,3.3,Machine Learning Engineer Intern (Risk Data Mining) - 2025 Summer (PhD),"San Jose, CA"
Metrex,3.6,"Intern, Quality Engineer","Binghamton, NY"
SiMa Technologies,4.1,Technical Research Intern,"Brea, CA"
Elanco,3.3,Computer Vision Intern (AI2338),"San Jose, CA"
Walter P Moore,3.7,IT Data Analyst Intern,"Greenfield, IN"
Data Device Corporation,4.2,Project Assistant Intern,"Orlando, FL"
RTI International,3.9,Quality Engineer Intern,"Poway, CA"
NJEDA,3.2,Geospatial Data Analyst Internship,"Durham, NC"
Amex,4.3,IT / Portal CRM Developer Intern,New Jersey
Salina Regional Health Center,3.5,"Campus Undergraduate – 2025 US Consumer Services Data Analytics Summer Internship New York, NY",United States
Leaner Creamer,3.6,INFORMATION TECHNOLOGY INTERN,"Salina, KS"
D.C. Witness,3.6,Pinterest Marketing Intern,"Los Angeles, CA"
Baylor College of Medicine,3.7,Editorial Intern,"Washington, DC"
Joby Aviation,3.8,Intern/Aide,United States
VIP Detailing NJ LLC,5.0,Flight Control Systems Intern,"Santa Cruz, CA"
Yancey Bros. Co.,3.4,Sales Intern,"Elizabeth, NJ"
Applexus,4.2,Product Support Data Interns,"Austell, GA"
Vanguard,3.3,SAP Analytics Cloud (SAC) Intern,"Seattle, WA"
Deceuninck North America,3.7,College to Corporate Internship – Data Analyst Advanced Development Program,"Charlotte, NC"
Isuzu,3.6,Engineering Intern (Spring 2025),"Monroe, OH"
"Proliance Surgeons, Inc.",3.8,CV Testing & MBD Intern,"Plymouth, MI"
TikTok,4.3,Operations Intern,"Issaquah, WA"
State Council of Higher Educ,3.2,"Backend Software Engineer Intern (TikTok Data Ecosystem, Data Lake) - 2025 Summer (BS/MS)","San Jose, CA"
South Dakota State Government,3.2,Virginia Talent + Opportunity Partnership Data Analytics Intern (#W0018),"Richmond, VA"
Amex,3.6,Intern- Hatchery (Spring),"Spearfish, SD"
Cobalt Stages,3.7,"Campus Undergraduate - 2025 Global Servicing & Business Strategy Summer Internship Sunrise, FL","Sunrise, FL"
TikTok,3.7,Film Production Intern,"Woodstock, NY"
